Label,Region,NetworkNum,X,Y,Z,Network
1,voxel_000001,7,18,-20,-14,Default
2,voxel_000002,5,16,-20,-14,Limbic
3,voxel_000003,7,18,-18,-14,Default
4,voxel_000004,7,22,-20,-12,Default
5,voxel_000005,7,20,-20,-12,Default
6,voxel_000006,7,18,-20,-12,Default
7,voxel_000007,5,16,-20,-12,Limbic
8,voxel_000008,7,-18,-20,-12,Default
9,voxel_000009,7,-20,-20,-12,Default
10,voxel_000010,7,22,-18,-12,Default
11,voxel_000011,7,20,-18,-12,Default
12,voxel_000012,7,18,-18,-12,Default
13,voxel_000013,5,16,-18,-12,Limbic
14,voxel_000014,7,-18,-18,-12,Default
15,voxel_000015,7,-20,-18,-12,Default
16,voxel_000016,7,24,-24,-10,Default
17,voxel_000017,7,22,-24,-10,Default
18,voxel_000018,7,20,-24,-10,Default
19,voxel_000019,5,-12,-24,-10,Limbic
20,voxel_000020,7,-14,-24,-10,Default
21,voxel_000021,7,-20,-24,-10,Default
22,voxel_000022,7,-22,-24,-10,Default
23,voxel_000023,7,-24,-24,-10,Default
24,voxel_000024,7,-26,-24,-10,Default
25,voxel_000025,7,26,-22,-10,Default
26,voxel_000026,7,24,-22,-10,Default
27,voxel_000027,7,22,-22,-10,Default
28,voxel_000028,7,20,-22,-10,Default
29,voxel_000029,5,14,-22,-10,Limbic
30,voxel_000030,5,12,-22,-10,Limbic
31,voxel_000031,4,10,-22,-10,SalVentAttn
32,voxel_000032,5,-12,-22,-10,Limbic
33,voxel_000033,5,-14,-22,-10,Limbic
34,voxel_000034,7,-18,-22,-10,Default
35,voxel_000035,7,-20,-22,-10,Default
36,voxel_000036,7,-22,-22,-10,Default
37,voxel_000037,7,-24,-22,-10,Default
38,voxel_000038,7,-26,-22,-10,Default
39,voxel_000039,7,26,-20,-10,Default
40,voxel_000040,7,24,-20,-10,Default
41,voxel_000041,7,22,-20,-10,Default
42,voxel_000042,7,20,-20,-10,Default
43,voxel_000043,7,18,-20,-10,Default
44,voxel_000044,5,16,-20,-10,Limbic
45,voxel_000045,5,14,-20,-10,Limbic
46,voxel_000046,4,12,-20,-10,SalVentAttn
47,voxel_000047,5,-16,-20,-10,Limbic
48,voxel_000048,7,-18,-20,-10,Default
49,voxel_000049,7,-20,-20,-10,Default
50,voxel_000050,7,-22,-20,-10,Default
51,voxel_000051,7,-24,-20,-10,Default
52,voxel_000052,5,26,-18,-10,Limbic
53,voxel_000053,5,24,-18,-10,Limbic
54,voxel_000054,7,22,-18,-10,Default
55,voxel_000055,7,20,-18,-10,Default
56,voxel_000056,5,18,-18,-10,Limbic
57,voxel_000057,5,16,-18,-10,Limbic
58,voxel_000058,7,-18,-18,-10,Default
59,voxel_000059,7,-20,-18,-10,Default
60,voxel_000060,7,-22,-18,-10,Default
61,voxel_000061,5,22,-16,-10,Limbic
